"Story","Title","Result","Date","Stability","Duration (s)"
"Like Thread","GET - As a user i want to see Like on a thread","FAILURE","2022-07-21T16:02:19.0844876+07:00[Asia/Jakarta]","0.0","1.47"
"Like Thread","GET - As a user i want to get dislike of thread","FAILURE","2022-07-21T16:02:20.5730799+07:00[Asia/Jakarta]","0.0","1.41"
"Report Comment","POST - As a user i am able to report Comment","FAILURE","2022-07-21T16:02:09.3691352+07:00[Asia/Jakarta]","0.0","9.56"
"Report Thread","POST - As a user i am able to report thread","FAILURE","2022-07-21T16:02:09.4016174+07:00[Asia/Jakarta]","0.0","9.65"
"Save Thread","POST - As a user i am able to save a thread","FAILURE","2022-07-21T16:02:09.4316336+07:00[Asia/Jakarta]","0.0","8.26"
"Topic","POST - As a user i am able to make a topic of thread","FAILURE","2022-07-21T16:02:09.6303169+07:00[Asia/Jakarta]","0.0","10.1"
